"Source title","CiteScore","Keywords","2020-23 Citations","2020-23 Documents","% Cited","SNIP","SJR","Publisher"
"International Winter Conference on Brain-Computer Interface, BCI","N/A","N/A","N/A","N/A","N/A","0.323","N/A","IEEE"
"ITMS - International Scientific Conference on Information Technology and Management Science of Riga Technical University","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"International Conference on Power and Energy Applications, ICPEA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Intelligent Computing","N/A","N/A","N/A","N/A","N/A","N/A","N/A","American Association for the Advancement of Science"
"Complexity International","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Charles Sturt University"
"Neural, Parallel and Scientific Computations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Dynamic Publishers"
"Journal of the American Society for Information Science and Technology","N/A","N/A","N/A","N/A","N/A","N/A","N/A","John Wiley & Sons"
"Journal of Artificial Intelligence","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Asian Network for Scientific Information"
"RAS Techniques and Instruments","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Oxford University Press"
"Intelligent Transportation Infrastructure","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Oxford University Press"
"Foundations and Trends in Robotics","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Now Publishers Inc"
"Synthesis Lectures on the Semantic Web: Theory and Technology","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Morgan and Claypool Publishers"
"International Journal of Intelligent Mechatronics and Robotics","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IGI Global Publishing"
"Proceedings of the National Conference on Artificial Intelligence","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Journal of Multimedia","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Academy Publisher"
"Journal of Software","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Academy Publisher"
"International Journal of Bio-Science and Bio-Technology","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Science and Engineering Research Support Society"
"Asia-Pacific Journal of Information Technology and Multimedia","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Penerbit Universiti Kebangsaan Malaysia"
"Expert Systems with Applications: X","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Elsevier"
"Frontiers in ICT","N/A","N/A","N/A","N/A","N/A","0.508","0.148","Frontiers Media S.A."
"Transactions on Fuzzy Sets and Systems","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Islamic Azad University"
"Civil-Comp Proceedings","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Civil-Comp Press"
"Journal of Automation and Intelligence","N/A","N/A","N/A","N/A","N/A","N/A","N/A","KeAi Communications Co."
"Journal on Data Semantics","N/A","N/A","N/A","N/A","N/A","3.526","0.725","Springer Nature"
"International Journal of Computational Intelligence in Control","N/A","N/A","N/A","N/A","N/A","0.095","N/A","MUK Publications and Distribution"
"SPIIRAS Proceedings","N/A","N/A","N/A","N/A","N/A","N/A","N/A","St. Petersburg Institute for Informatics and Automation of the Russian academy of sciences"
"EAI Endorsed Transactions on AI and Robotics","N/A","N/A","N/A","N/A","N/A","N/A","N/A","European Alliance for Innovation"
"International Journal of Engineering Research and Technology","N/A","N/A","N/A","N/A","N/A","0.412","N/A","International Research Publication House"
"Applied AI Letters","N/A","N/A","N/A","N/A","N/A","0.816","N/A","John Wiley & Sons"
"Journal of Forensic Document Examination","N/A","N/A","N/A","N/A","N/A","0","0.111","Association of Forensic Document Examiners"
"Discover Artificial Intelligence","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Springer Nature"
"Intelligent Engineering Systems Through Artificial Neural Networks","N/A","N/A","N/A","N/A","N/A","N/A","N/A","American Society of Mechanical Engineers"
"TECHNO Review. International Technology, Science and Society Review / Revista Internacional de Tecnologia, Ciencia y Sociedad","N/A","N/A","N/A","N/A","N/A","0.19","N/A","Eagora Science"
"Machine Translation","N/A","N/A","N/A","N/A","N/A","1.742","0.34","Springer Nature"
"Proceedings of International Conference on Artificial Life and Robotics","N/A","N/A","N/A","N/A","N/A","0.112","N/A","ALife Robotics Corporation Ltd"
"International Journal of Machine Learning and Computing","N/A","N/A","N/A","N/A","N/A","N/A","N/A","International Association of Computer Science and Information Technology"
"Intelligent Pharmacy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","KeAi Communications Co."
"Proceedings of the International Conference on Informatics in Control, Automation and Robotics","N/A","N/A","N/A","N/A","N/A","0.516","N/A","Science and Technology Publications, Lda"
"Proceedings of the AAAI Conference on Artificial Intelligence","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Association for the Advancement of Artificial Intelligence"
"International Conference on Pattern Recognition Applications and Methods","N/A","N/A","N/A","N/A","N/A","0.18","N/A","Science and Technology Publications, Lda"
"Proceedings International Conference on Automated Planning and Scheduling, ICAPS","N/A","N/A","N/A","N/A","N/A","1.451","N/A","Association for the Advancement of Artificial Intelligence"
"Proceedings - AAAI Artificial Intelligence and Interactive Digital Entertainment Conference, AIIDE","N/A","N/A","N/A","N/A","N/A","0.982","N/A","Association for the Advancement of Artificial Intelligence"
"EAI International Conference on Mobile Computing, Applications and Services (MobiCASE)","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"International Journal of Information Technology and Computer Science","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Modern Education and Computer Science Press"
"International Journal of Intelligent Systems and Applications","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Modern Education and Computer Science Press"
"Technische Berichte des Hasso-Plattner-Instituts fur Softwaresystemtechnik an der Universitat Potsdam","N/A","N/A","N/A","N/A","N/A","0","N/A",""
"International Conference on Structural Health Monitoring of Intelligent Infrastructure: Transferring Research into Practice, SHMII","N/A","N/A","N/A","N/A","N/A","0.148","N/A","International Society for Structural Health Monitoring of Intelligent Infrastructure, ISHMII"
"Recent Advances in Slavonic Natural Language Processing","N/A","N/A","N/A","N/A","N/A","0.275","N/A",""
"IN4PL - Proceedings of the International Conference on Innovative Intelligent Industrial Production and Logistics","N/A","N/A","N/A","N/A","N/A","0.525","N/A","Science and Technology Publications, Lda"
"International Joint Conference on Computational Intelligence","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Science and Technology Publications, Lda"
"EAI International Conference on Bio-inspired Information and Communications Technologies (BICT)","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Proceedings of the Australasian Language Technology Workshop","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Australasian Language Technology Association"
"Proceedings - International Conference on Advanced Computer Information Technologies, ACIT","N/A","N/A","N/A","N/A","N/A","0.471","N/A","IEEE"
"Proceedings of the European Conference on Games-based Learning","N/A","N/A","N/A","N/A","N/A","0.216","N/A",""
"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS","N/A","N/A","N/A","N/A","N/A","0.935","N/A",""
"Australasian Conference on Robotics and Automation, ACRA","N/A","N/A","N/A","N/A","N/A","0.103","N/A","Australasian Robotics and Automation Association"
"Proceedings of Machine Learning Research","N/A","N/A","N/A","N/A","N/A","1.673","N/A",""
"Belgian/Netherlands Artificial Intelligence Conference","N/A","N/A","N/A","N/A","N/A","0.193","N/A",""
"Proceedings of the International Florida Artificial Intelligence Research Society Conference, FLAIRS","N/A","N/A","N/A","N/A","N/A","0.477","N/A",""
"IJCAI International Joint Conference on Artificial Intelligence","N/A","N/A","N/A","N/A","N/A","1.634","N/A",""
"OGAI Journal (Oesterreichische Gesellschaft fuer Artificial Intelligence)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Austrian Society for Artificial Intelligency"
"Memorias de la Conferencia Iberoamericana de Complejidad, Informatica y Cibernetica, CICIC","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Journal of Innovative Image Processing","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Inventive Research Organization"
"Annual of Sofia University ""St. Kliment Ohridski"" Faculty of Mathematics and Informatics","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Sofia University St Kliment Ohridski Faculty of Mathematics and Informatics"
"Proceedings ICSIT, International Conference on Society and Information Technologies","N/A","N/A","N/A","N/A","N/A","N/A","N/A","International Institute of Informatics and Cybernetics"
"Proceedings of World Multi-Conference on Systemics, Cybernetics and Informatics, WMSCI","N/A","N/A","N/A","N/A","N/A","0.068","N/A","International Institute of Informatics and Cybernetics"
"Proceedings of the International Multi-Conference on Society, Cybernetics and Informatics, IMSCI","N/A","N/A","N/A","N/A","N/A","0.037","N/A","International Institute of Informatics and Cybernetics"
"Italian Journal of Computational Linguistics","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Accademia University Press"
"Proceedings IMCIC - International Multi-Conference on Complexity, Informatics and Cybernetics","N/A","N/A","N/A","N/A","N/A","N/A","N/A","International Institute of Informatics and Cybernetics"
"International Journal of Smart Grid","N/A","N/A","N/A","N/A","N/A","N/A","N/A","ilhami Colak"
"Future Technology","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Future Publishing LLC"
