"Source title","CiteScore","Keywords","2020-23 Citations","2020-23 Documents","% Cited","SNIP","SJR","Publisher"
"ACM Transactions on Intelligent Systems and Technology","9.3","90.0%
13/130
Theoretical Computer Science","3411","368","75","1.992","1.882","Association for Computing Machinery"
"IET Collaborative Intelligent Manufacturing","9.1","86.0%
52/384
Industrial and Manufacturing Engineering","916","101","75","0.812","0.754","John Wiley & Sons"
"Machine Learning: Science and Technology","9.1","82.0%
70/407
Software","4488","494","70","1.403","1.506","Institute of Physics Publishing"
"Journal of Reliable Intelligent Environments","9","84.0%
61/395
Computer Networks and Communications","813","90","87","1.328","0.874","Springer Nature"
"Journal of Memory and Language","8.7","98.0%
14/1088
Language and Linguistics","1761","202","85","2.347","1.942","Elsevier"
"Journal of Artificial Intelligence and Technology","8.7","78.0%
77/350
Artificial Intelligence","667","77","83","2.133","0.723","Intelligence Science and Technology Press Inc."
"Design Studies","8.6","98.0%
3/189
Architecture","1096","128","86","2.348","1.18","Elsevier"
"KI - Kunstliche Intelligenz","8.6","77.0%
78/350
Artificial Intelligence","970","113","81","1.477","0.649","Springer Nature"
"Topics in Cognitive Science","8.5","98.0%
17/1167
Linguistics and Language","1532","180","91","1.707","1.068","John Wiley & Sons"
"Cognitive Robotics","8.4","84.0%
51/321
Control and Systems Engineering","565","67","72","2.083","1.075","KeAi Communications Co."
"IEEE Journal on Selected Areas in Information Theory","8.2","95.0%
27/635
Applied Mathematics","2317","281","85","N/A","N/A","IEEE"
"AI and Society","8","99.0%
8/806
Philosophy","4054","506","84","1.939","0.976","Springer Nature"
"International Journal of Machine Learning and Cybernetics","7.9","80.0%
21/106
Computer Vision and Pattern Recognition","6905","872","78","1.217","0.988","Springer Nature"
"Autonomous Robots","7.9","75.0%
85/350
Artificial Intelligence","2191","278","76","1.68","1.41","Springer Nature"
"Applied System Innovation","7.9","95.0%
30/635
Applied Mathematics","3038","386","76","1.392","0.788","Multidisciplinary Digital Publishing Institute (MDPI)"
"Computers in Human Behavior Reports","7.8","92.0%
4/49
Neuroscience (miscellaneous)","2248","288","79","2.145","1.365","Elsevier"
"ACM Transactions on Interactive Intelligent Systems","7.8","75.0%
88/350
Artificial Intelligence","895","115","83","1.441","0.991","Association for Computing Machinery"
"International Journal of Fuzzy Systems","7.8","89.0%
19/176
Computational Theory and Mathematics","5826","751","84","1.047","0.817","Springer Nature"
"IEEE Transactions on Artificial Intelligence","7.7","79.0%
172/817
Computer Science Applications","2187","285","80","2.008","1.771","IEEE"
"Cyborg and Bionic Systems","7.7","85.0%
96/672
Mechanical Engineering","799","104","80","1.933","1.508","American Association for the Advancement of Science"
"ACM Transactions on Human-Robot Interaction","7.7","74.0%
91/350
Artificial Intelligence","1235","160","79","1.871","1.342","Association for Computing Machinery"
"IET Smart Cities","7.7","93.0%
19/279
Urban Studies","634","82","78","1.259","0.695","John Wiley & Sons"
"Quantum Machine Intelligence","7.6","94.0%
36/635
Applied Mathematics","907","120","74","1.424","1.025","Springer Nature"
"Journal of the ACM","7.5","79.0%
67/321
Control and Systems Engineering","1179","158","68","3.247","2.866","Association for Computing Machinery"
"Data Science and Management","7.5","79.0%
42/207
Management Science and Operations Research","481","64","88","1.663","1.432","KeAi Communications Co."
"Expert Systems","7.4","87.0%
22/176
Computational Theory and Mathematics","5322","719","80","1.001","0.761","John Wiley & Sons"
"Pattern Analysis and Applications","7.4","78.0%
23/106
Computer Vision and Pattern Recognition","3035","411","73","1.133","0.783","Springer Nature"
"Cybersecurity","7.3","79.0%
82/395
Computer Networks and Communications","1070","147","69","1.587","1.136","Springer Nature"
"IEEE Transactions on Cognitive and Developmental Systems","7.2","74.0%
103/407
Software","3458","481","85","1.433","1.302","IEEE"
"Journal of Intelligent Information Systems","7.2","78.0%
84/395
Computer Networks and Communications","1658","230","80","1.699","0.835","Springer Nature"
"AI (Switzerland)","7.2","71.0%
100/350
Artificial Intelligence","1309","181","76","1.307","0.759","Multidisciplinary Digital Publishing Institute (MDPI)"
"International Journal of Interactive Multimedia and Artificial Intelligence","7.2","94.0%
14/278
Statistics and Probability","1724","240","83","1.264","0.904","Universidad Internacional de la Rioja"
"Machine Intelligence Research","7.1","92.0%
46/635
Applied Mathematics","635","90","79","2.721","1.681","Chinese Academy of Sciences"
"Big Data and Cognitive Computing","7.1","78.0%
29/131
Management Information Systems","3231","458","78","1.394","0.82","Multidisciplinary Digital Publishing Institute (MDPI)"
"IEEE Transactions on Human-Machine Systems","7.1","83.0%
8/46
Human Factors and Ergonomics","2492","351","81","1.436","1.139","IEEE"
"Journal of Artificial Intelligence and Soft Computing Research","7","89.0%
34/324
Modeling and Simulation","594","85","78","1.746","1.003","Walter de Gruyter"
"Journal of Intelligent and Robotic Systems: Theory and Applications","7","82.0%
118/672
Mechanical Engineering","6510","935","79","1.342","0.96","Springer Nature"
"Computational Intelligence","6.9","90.0%
18/189
Computational Mathematics","2117","309","82","1.032","0.692","John Wiley & Sons"
"Knowledge Engineering Review","6.9","73.0%
110/407
Software","214","31","65","1.002","0.769","Cambridge University Press"
"Microprocessors and Microsystems","6.9","76.0%
93/395
Computer Networks and Communications","8546","1234","82","1.003","0.549","Elsevier"
"International Journal of Approximate Reasoning","6.9","92.0%
47/635
Applied Mathematics","3904","567","80","1.5","0.877","Elsevier"
"Evolutionary Intelligence","6.8","96.0%
4/90
Mathematics (miscellaneous)","3353","494","82","0.992","0.638","Springer Nature"
"IEEE Transactions on Medical Robotics and Bionics","6.8","88.0%
15/130
Control and Optimization","2483","367","81","1.249","1.102","IEEE"
"Proceedings - IEEE International Conference on Robotics and Automation","6.8","77.0%
180/797
Electrical and Electronic Engineering","32080","4727","76","1.436","1.62","IEEE"
"Robotics","6.7","88.0%
16/130
Control and Optimization","3747","560","78","1.41","0.795","Multidisciplinary Digital Publishing Institute (MDPI)"
"Data Science","6.6","94.0%
16/278
Statistics and Probability","232","35","49","1.1","0.527","SAGE"
"Data Intelligence","6.6","88.0%
33/280
Library and Information Sciences","1158","175","79","1.283","0.754","Science Press"
"Applied Intelligence","6.6","66.0%
117/350
Artificial Intelligence","23242","3505","70","1.528","1.193","Springer Nature"
"International Journal of Advanced Robotic Systems","6.5","73.0%
218/817
Computer Science Applications","3353","513","85","1.035","0.59","SAGE"
